Disease/Trait (PheGenI),Main categories (PheGenI),Entries utilized in this study,Ensembl ID,GWAS eGene ID,Ensembl gene category,Ensembl biotype,Genomic location of transcript,Mean expression in classical monocytes (TPM),Mean expression in non-classical monocytes (TPM),"Mean expression in
NK cells (TPM)",Mean expression in naïve B cells (TPM),Mean expression in naïve CD4+ T cells (TPM),Mean expression in naïve CD8+ T cells (TPM),"Mean expression in activated naïve
CD4+ T cells (TPM)","Mean expression in activated naïve
CD8+ T cells (TPM)",Mean expression in naïve TREG cells (TPM),Mean expression in memory TREG cells (TPM),"Mean expression in
TH1 cells (TPM)",Mean expression in TH1/17 cells (TPM),"Mean expression in
TH17 cells (TPM)","Mean expression in
TH2 cells (TPM)","Mean expression in
TFH cells (TPM)","Adj. association P value in
classical monocytes","Adj. association P value in
non-classical monocytes","Adj. association P value in
NK cells","Adj. association P value in
naïve B cells","Adj.association P value in
naïve CD4+ T cells","Adj. association P value in
naïve CD8+ T cells",Adj. association P value in activated naïve CD4+ T cells,Adj. association P value in activated naïve CD8+ T cells,"Adj. association P value in
naïve TREG cells","Adj. association P value in
memory TREG cells","Adj. association P value in
TH1 cells","Adj. association P value in
TH1/17 cells","Adj.association P value in
TH17 cells","Adj. association P value in
TH2 cells","Adj. association P value in
TFH cells",Count of cell types with GWAS eGenes
"Hepatitis B, chronic",Digestive system diseases; Virus diseases,N/A,ENSG00000204525.10,HLA-C,protein coding,Protein-coding transcript,"chr6:31,236,526-31,239,907",850.1,746.9,1456.8,419.8,666,827.1,420.7,678.5,716.4,1396.5,1178.4,853.3,1028.5,1028.9,1166.7,5.99E-07,1.24E-07,6.82E-08,9.99E-03,5.44E-14,2.13E-16,2.85E-09,2.50E-09,2.17E-17,1.59E-14,3.64E-11,2.87E-15,1.40E-13,4.34E-13,4.40E-16,15
"Hepatitis B, chronic",Digestive system diseases; Virus diseases,N/A,ENSG00000204536.9,CCHCR1,protein coding,Protein-coding transcript,"chr6:31,110,216-31,126,015",3.7,4.4,9.2,7.5,10,11.3,2.3,3.2,11.3,13.8,11,7.3,9.2,9.7,14.2,1.22E-05,3.78E-06,3.91E-03,1.39E-04,2.66E-04,2.53E-07,8.23E-05,9.51E-04,6.60E-05,3.94E-05,1.40E-02,4.12E-05,2.24E-04,8.94E-04,3.14E-08,15
"Hepatitis B, chronic",Digestive system diseases; Virus diseases,N/A,ENSG00000204580.7,DDR1,protein coding,Protein-coding transcript,"chr6:30,844,198-30,867,933",0.8,0.1,1.1,13.9,5,4.6,2.2,1.6,7.5,1.4,2.5,1.1,1.5,1.9,3.3,N/A,N/A,8.44E-03,8.16E-03,N/A,1.93E-03,N/A,9.20E-03,2.42E-02,N/A,2.34E-02,N/A,N/A,N/A,4.60E-03,7
"Hepatitis B, chronic",Digestive system diseases; Virus diseases,N/A,ENSG00000204592.5,HLA-E,protein coding,Protein-coding transcript,"chr6:30,457,244-30,461,982",2047.2,3519.3,4645.3,2009.7,2998.2,3269.6,3521.3,3292.8,3181.6,4265.1,3741.1,3102.8,3294.9,3383.1,3777.6,N/A,2.10E-02,2.86E-03,2.78E-02,4.06E-03,2.62E-03,N/A,1.60E-02,3.24E-02,N/A,2.42E-03,5.38E-03,2.64E-03,1.88E-03,N/A,11
"Hepatitis B, chronic",Digestive system diseases; Virus diseases,N/A,ENSG00000206344.6,HCG27,protein coding,Protein-coding transcript,"chr6:31,165,537-31,171,745",3.5,6,4.5,3.5,17.6,13.6,6.9,5,19.5,19.7,9.7,7.8,11,10.4,16.3,3.75E-05,5.30E-07,1.42E-07,2.98E-06,6.18E-06,2.50E-04,1.22E-03,5.68E-03,1.51E-05,3.01E-06,1.68E-07,2.68E-08,1.07E-06,2.62E-06,8.68E-06,15
"Hepatitis B, chronic",Digestive system diseases; Virus diseases,N/A,ENSG00000221988.8,PPT2,protein coding,Protein-coding transcript,"chr6:32,121,218-32,134,011",1.6,0.4,14.5,1.1,13.4,17.9,11.5,26.1,9.1,4.7,7.3,6.1,6.5,6.2,8.1,N/A,N/A,N/A,N/A,2.98E-03,N/A,N/A,N/A,2.69E-02,1.36E-02,2.73E-02,3.28E-02,N/A,N/A,N/A,5
"Hepatitis B, chronic",Digestive system diseases; Virus diseases,N/A,ENSG00000223534.1,HLA-DQB1-AS1,antisense,lncRNA,"chr6:32,627,657-32,628,506",40.9,12.7,1.4,263.5,1.4,1,0.6,0.6,0.9,9,0.5,0.3,1.5,1.5,0.7,9.57E-17,1.79E-16,5.86E-13,1.94E-20,9.45E-16,N/A,N/A,N/A,N/A,1.43E-17,N/A,N/A,2.36E-13,6.33E-12,N/A,8
"Hepatitis B, chronic",Digestive system diseases; Virus diseases,N/A,ENSG00000223865.6,HLA-DPB1,protein coding,Protein-coding transcript,"chr6:33,043,703-33,054,978",367.2,302.1,76.5,818.9,18.3,40.6,6.3,13.6,15.7,131.7,31.6,11.2,27,35.7,26.1,9.47E-04,1.06E-03,N/A,1.51E-04,N/A,N/A,N/A,N/A,1.08E-02,1.77E-03,N/A,N/A,N/A,N/A,N/A,5
"Hepatitis B, chronic",Digestive system diseases; Virus diseases,N/A,ENSG00000224796.1,RPL32P1,pseudogene,Pseudogene,"chr6:33,047,228-33,047,637",50.5,22.3,11.2,357.6,4.8,9.6,0.2,0.3,2.7,15.2,5.1,2.6,4.5,7.3,4.6,1.20E-07,4.01E-04,4.58E-04,2.21E-10,1.60E-02,2.13E-05,N/A,N/A,4.65E-03,3.49E-09,2.78E-02,N/A,2.38E-03,5.20E-04,3.06E-03,12
"Hepatitis B, chronic",Digestive system diseases; Virus diseases,N/A,ENSG00000227507.2,LTB,protein coding,Protein-coding transcript,"chr6:31,548,302-31,550,299",3.3,22.4,9.2,124.1,198.4,181.1,74.2,56,267.1,433.7,345.8,315.3,522.3,377.6,684.2,N/A,2.91E-02,8.58E-03,1.18E-02,2.67E-02,N/A,N/A,1.84E-02,N/A,6.10E-03,3.54E-02,1.42E-02,N/A,N/A,N/A,8
"Hepatitis B, chronic",Digestive system diseases; Virus diseases,N/A,ENSG00000229391.3,HLA-DRB6,pseudogene,Pseudogene,"chr6:32,520,490-32,527,799",91.1,58.2,4.4,110,1,1.2,0.5,0.5,0.8,15,1.8,0.3,1.6,1.9,1.3,2.00E-20,1.15E-20,4.64E-08,3.92E-15,5.30E-08,5.95E-11,N/A,N/A,N/A,6.27E-17,9.23E-06,N/A,3.32E-10,2.89E-12,1.02E-07,11
"Hepatitis B, chronic",Digestive system diseases; Virus diseases,N/A,ENSG00000230313.1,HCG24,antisense,lncRNA,"chr6:33,112,560-33,115,544",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,3.18E-05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
"Hepatitis B, chronic",Digestive system diseases; Virus diseases,N/A,ENSG00000231389.3,HLA-DPA1,protein coding,Protein-coding transcript,"chr6:33,032,346-33,048,552",280.4,420.1,32.1,515.3,7.3,8.8,2.9,3.4,4.9,56.1,13.2,5.9,11.7,12.9,10.4,1.96E-06,1.14E-07,N/A,7.60E-12,1.29E-02,N/A,9.15E-04,N/A,N/A,2.62E-02,N/A,N/A,7.60E-04,6.19E-03,6.50E-03,9
"Hepatitis B, chronic",Digestive system diseases; Virus diseases,N/A,ENSG00000231461.1,HLA-DPA2,pseudogene,Pseudogene,"chr6:33,059,530-33,065,072",0.3,0.1,0,4,0.1,0.1,0,0,0.1,0.2,0,0,0,0,0,N/A,N/A,N/A,1.77E-05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
"Hepatitis B, chronic",Digestive system diseases; Virus diseases,N/A,ENSG00000232629.4,HLA-DQB2,protein coding,Protein-coding transcript,"chr6:32,723,875-32,731,311",31.2,12.1,1.4,108.3,0.7,0.8,1.1,0.7,1.2,13.6,1.6,0.5,2.3,2.6,1.5,6.77E-16,2.11E-12,1.46E-06,1.52E-18,N/A,N/A,2.87E-13,N/A,2.54E-12,5.55E-19,7.67E-11,N/A,2.49E-14,4.01E-14,3.06E-08,11
"Hepatitis B, chronic",Digestive system diseases; Virus diseases,N/A,ENSG00000237541.3,HLA-DQA2,protein coding,Protein-coding transcript,"chr6:32,709,119-32,714,992",57.4,72.5,4.2,211.4,1.2,1.3,1.1,1.1,0.6,15.5,1.4,0.2,1.3,1.3,1,3.30E-23,3.04E-24,3.61E-13,5.21E-24,2.12E-09,2.39E-13,2.63E-11,3.29E-10,N/A,3.95E-20,6.17E-06,N/A,3.61E-12,3.90E-12,6.63E-06,13
"Hepatitis B, chronic",Digestive system diseases; Virus diseases,N/A,ENSG00000240053.8,LY6G5B,protein coding,Protein-coding transcript,"chr6:31,637,944-31,641,553",27.6,31.8,38.8,29.1,41.5,34.1,23.5,26.6,36.9,36.1,34.1,31.2,33,34,34.5,N/A,N/A,1.36E-02,6.77E-05,1.59E-05,5.17E-08,2.45E-02,5.96E-03,9.38E-07,2.69E-05,3.44E-05,4.20E-08,8.61E-09,1.68E-06,1.13E-08,13
"Hepatitis B, chronic",Digestive system diseases; Virus diseases,N/A,ENSG00000241106.2,HLA-DOB,protein coding,Protein-coding transcript,"chr6:32,780,540-32,784,825",6,10.7,17.2,235.2,17.7,18.2,6,9.1,14.6,17.9,11.5,10.6,11.2,11.3,12.4,7.76E-11,3.64E-12,9.98E-12,5.85E-03,3.14E-12,4.63E-12,3.02E-10,1.56E-10,1.18E-11,4.30E-12,2.27E-10,8.89E-12,1.34E-11,8.45E-12,3.43E-12,15
"Hepatitis B, chronic",Digestive system diseases; Virus diseases,N/A,ENSG00000243753.1,HLA-L,pseudogene,Pseudogene,"chr6:30,227,361-30,260,791",6.4,4.9,9.4,33.8,4.1,6.3,10.8,11.3,6.8,13.3,9,6.4,7.3,8,11.3,1.70E-04,3.36E-05,1.40E-03,5.24E-06,1.29E-03,6.13E-04,5.77E-03,6.58E-04,6.49E-05,4.95E-09,5.80E-06,3.18E-04,2.22E-04,3.18E-05,8.45E-07,15
"Hepatitis B, chronic",Digestive system diseases; Virus diseases,N/A,ENSG00000271821.1,XXbac-BPG299F13.14,lincRNA,lncRNA,"chr6:31,167,942-31,169,695",0.9,2,1.4,1.1,5.7,4.3,2.7,1.9,5.7,4.5,2.9,2.4,3.1,3.2,3.7,N/A,1.76E-05,1.37E-02,N/A,9.87E-05,8.93E-03,1.40E-02,N/A,2.47E-02,6.00E-04,1.78E-03,1.23E-04,2.87E-05,1.65E-04,1.56E-06,12
"Hepatitis B, chronic",Digestive system diseases; Virus diseases,N/A,ENSG00000272501.1,XXbac-BPG299F13.17,antisense,lncRNA,"chr6:31,162,977-31,165,814",2.1,3.5,8.2,10.6,14,12.5,3.3,3.2,18.5,16.8,11.8,9.2,10.9,11.6,13.9,N/A,3.42E-04,N/A,1.91E-05,1.20E-02,9.72E-04,3.46E-02,8.57E-04,1.98E-02,2.71E-03,4.19E-02,N/A,N/A,N/A,1.06E-02,10
Hepatitis C,Digestive system diseases; Virus diseases,N/A,ENSG00000153214.5,TMEM87B,protein coding,Protein-coding transcript,"chr2:112,812,800-112,876,895",50.5,115,55.4,93.8,84.7,74.6,40.1,38.5,96.8,68.7,77.7,105.3,88.3,90.6,77.3,N/A,N/A,N/A,N/A,4.84E-06,3.14E-05,4.05E-18,3.01E-16,4.96E-11,N/A,N/A,4.67E-02,8.03E-04,3.61E-06,6.88E-03,9
Hepatitis C,Digestive system diseases; Virus diseases,N/A,ENSG00000179344.12,HLA-DQB1,protein coding,Protein-coding transcript,"chr6:32,627,244-32,636,160",116.4,42.3,3.4,458.6,1.8,1.8,2.4,2.4,2.6,23.4,1.9,1,3.7,4.3,2.3,1.44E-18,2.85E-19,2.66E-15,1.64E-23,9.36E-16,7.47E-17,1.44E-10,5.84E-14,1.22E-17,3.58E-16,8.15E-12,N/A,1.52E-14,1.43E-14,3.63E-14,14
Hepatitis C,Digestive system diseases; Virus diseases,N/A,ENSG00000196126.6,HLA-DRB1,protein coding,Protein-coding transcript,"chr6:32,546,546-32,557,625",1792.2,971,81.7,2016.6,15,16.4,11.7,11.4,15.1,292,30.4,8,36.8,37.1,28.1,1.30E-18,1.51E-09,3.78E-05,1.77E-12,2.56E-07,1.15E-05,8.46E-07,7.21E-07,2.65E-07,3.57E-09,2.37E-02,1.71E-11,4.08E-12,2.20E-10,4.29E-07,15
Hepatitis C,Digestive system diseases; Virus diseases,N/A,ENSG00000196735.7,HLA-DQA1,protein coding,Protein-coding transcript,"chr6:32,595,956-32,614,839",33.3,26.1,1.2,248.2,1.1,0.9,1.2,1,0.5,7,0.4,0.1,0.5,0.5,0.5,7.21E-21,9.13E-12,7.35E-03,5.21E-24,1.10E-16,N/A,1.01E-16,N/A,N/A,1.75E-12,N/A,N/A,N/A,N/A,N/A,7
Hepatitis C,Digestive system diseases; Virus diseases,N/A,ENSG00000198502.5,HLA-DRB5,protein coding,Protein-coding transcript,"chr6:32,485,120-32,498,064",637.4,472.7,18.9,482.3,3.9,4.8,2.1,2.3,4.3,103.7,8.2,1.3,10.6,10.9,9.1,1.04E-14,2.10E-13,1.94E-06,1.26E-14,3.16E-12,5.37E-09,1.33E-10,9.03E-08,1.93E-07,2.34E-13,2.35E-04,2.02E-08,4.24E-10,2.30E-10,5.43E-09,15
Hepatitis C,Digestive system diseases; Virus diseases,N/A,ENSG00000198563.9,DDX39B,protein coding,Protein-coding transcript,"chr6:31,497,996-31,510,225",128.6,153.5,229.1,185.5,259.3,226.6,196.7,191.2,247.9,221.6,223.8,218.5,236.4,238.7,232.7,N/A,2.10E-02,N/A,N/A,N/A,1.69E-02,4.13E-02,3.40E-03,N/A,N/A,1.77E-02,N/A,N/A,N/A,N/A,5
Hepatitis C,Digestive system diseases; Virus diseases,N/A,ENSG00000201207.1,Y_RNA,misc RNA,sncRNA,"chr6:31,631,065-31,631,178",0.7,1.4,1.7,2.5,1.6,1.8,3.6,4.6,0.4,0.8,1,1.2,0.8,1.2,0.7,N/A,N/A,N/A,N/A,6.95E-03,N/A,N/A,N/A,N/A,N/A,4.08E-02,4.13E-03,N/A,N/A,N/A,3
Hepatitis C,Digestive system diseases; Virus diseases,N/A,ENSG00000204296.7,C6orf10,protein coding,Protein-coding transcript,"chr6:32,256,303-32,339,684",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,3.40E-04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
Hepatitis C,Digestive system diseases; Virus diseases,N/A,ENSG00000204344.10,STK19,protein coding,Protein-coding transcript,"chr6:31,938,868-31,950,598",10.5,10.7,14.9,10.6,12.4,12.3,14.2,17.7,10.8,12.3,12.6,10.5,11.6,11.8,13.1,N/A,N/A,1.46E-02,N/A,N/A,7.00E-03,N/A,N/A,1.96E-02,N/A,N/A,N/A,1.97E-02,N/A,2.50E-02,5
Hepatitis C,Digestive system diseases; Virus diseases,N/A,ENSG00000204392.6,LSM2,protein coding,Protein-coding transcript,"chr6:31,765,173-31,774,761",17.3,12.3,37.1,22.8,25.1,33.8,32,45.4,29.1,42.9,25.7,21.6,25.9,24.7,27.3,N/A,5.67E-03,N/A,N/A,N/A,N/A,2.36E-02,N/A,3.24E-02,1.48E-02,N/A,N/A,N/A,N/A,N/A,4
Hepatitis C,Digestive system diseases; Virus diseases,N/A,ENSG00000204516.5,MICB,protein coding,Protein-coding transcript,"chr6:31,462,658-31,478,901",40.5,50.5,94.8,50.8,33,32.4,11.8,17.7,39.4,69.6,56.2,53.7,54.9,53,51.9,2.42E-05,9.88E-05,3.60E-04,1.11E-02,2.07E-02,9.94E-03,N/A,N/A,3.45E-03,1.38E-12,2.03E-05,3.74E-07,1.03E-09,8.63E-07,1.98E-07,13
Hepatitis C,Digestive system diseases; Virus diseases,N/A,ENSG00000223534.1,HLA-DQB1-AS1,antisense,lncRNA,"chr6:32,627,657-32,628,506",40.9,12.7,1.4,263.5,1.4,1,0.6,0.6,0.9,9,0.5,0.3,1.5,1.5,0.7,9.57E-17,1.79E-16,5.86E-13,1.94E-20,9.45E-16,N/A,N/A,N/A,N/A,1.43E-17,N/A,N/A,2.36E-13,6.33E-12,N/A,8
Hepatitis C,Digestive system diseases; Virus diseases,N/A,ENSG00000229391.3,HLA-DRB6,pseudogene,Pseudogene,"chr6:32,520,490-32,527,799",91.1,58.2,4.4,110,1,1.2,0.5,0.5,0.8,15,1.8,0.3,1.6,1.9,1.3,2.00E-20,1.15E-20,4.64E-08,3.92E-15,5.30E-08,5.95E-11,N/A,N/A,N/A,6.27E-17,9.23E-06,N/A,3.32E-10,2.89E-12,1.02E-07,11
Hepatitis C,Digestive system diseases; Virus diseases,N/A,ENSG00000232629.4,HLA-DQB2,protein coding,Protein-coding transcript,"chr6:32,723,875-32,731,311",31.2,12.1,1.4,108.3,0.7,0.8,1.1,0.7,1.2,13.6,1.6,0.5,2.3,2.6,1.5,6.77E-16,2.11E-12,1.46E-06,1.52E-18,N/A,N/A,2.87E-13,N/A,2.54E-12,5.55E-19,7.67E-11,N/A,2.49E-14,4.01E-14,3.06E-08,11
Hepatitis C,Digestive system diseases; Virus diseases,N/A,ENSG00000237541.3,HLA-DQA2,protein coding,Protein-coding transcript,"chr6:32,709,119-32,714,992",57.4,72.5,4.2,211.4,1.2,1.3,1.1,1.1,0.6,15.5,1.4,0.2,1.3,1.3,1,3.30E-23,3.04E-24,3.61E-13,5.21E-24,2.12E-09,2.39E-13,2.63E-11,3.29E-10,N/A,3.95E-20,6.17E-06,N/A,3.61E-12,3.90E-12,6.63E-06,13
Hepatitis C,Digestive system diseases; Virus diseases,N/A,ENSG00000240053.8,LY6G5B,protein coding,Protein-coding transcript,"chr6:31,637,944-31,641,553",27.6,31.8,38.8,29.1,41.5,34.1,23.5,26.6,36.9,36.1,34.1,31.2,33,34,34.5,N/A,N/A,1.36E-02,6.77E-05,1.59E-05,5.17E-08,2.45E-02,5.96E-03,9.38E-07,2.69E-05,3.44E-05,4.20E-08,8.61E-09,1.68E-06,1.13E-08,13
Hepatitis C,Digestive system diseases; Virus diseases,N/A,ENSG00000241106.2,HLA-DOB,protein coding,Protein-coding transcript,"chr6:32,780,540-32,784,825",6,10.7,17.2,235.2,17.7,18.2,6,9.1,14.6,17.9,11.5,10.6,11.2,11.3,12.4,7.76E-11,3.64E-12,9.98E-12,5.85E-03,3.14E-12,4.63E-12,3.02E-10,1.56E-10,1.18E-11,4.30E-12,2.27E-10,8.89E-12,1.34E-11,8.45E-12,3.43E-12,15
"Hepatitis C, chronic",Digestive system diseases; Virus diseases,N/A,ENSG00000088854.11,C20orf194,protein coding,Protein-coding transcript,"chr20:3,229,951-3,388,272",25.7,15.2,9.5,10.6,7.6,8.6,2.1,2.8,9.6,23.3,13.7,13.1,15.7,13.2,11.5,N/A,N/A,N/A,N/A,2.01E-04,1.94E-02,N/A,N/A,9.70E-03,2.99E-02,N/A,1.43E-03,9.43E-03,2.39E-03,1.15E-03,8
"Hepatitis C, chronic",Digestive system diseases; Virus diseases,N/A,ENSG00000101220.13,C20orf27,protein coding,Protein-coding transcript,"chr20:3,734,155-3,749,034",105.1,119.8,18.9,14.5,19,32.7,23.6,38,33,44.4,32.8,21,32.5,28.3,46.1,N/A,N/A,N/A,N/A,N/A,2.97E-02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
"Hepatitis C, chronic",Digestive system diseases; Virus diseases,N/A,ENSG00000125877.8,ITPA,protein coding,Protein-coding transcript,"chr20:3,189,514-3,204,516",26.5,25.8,42.4,28.9,26.1,35,39.4,55.3,31.9,57.4,38.4,27.7,36.2,35.9,44.5,4.37E-02,N/A,1.37E-02,N/A,2.01E-03,2.64E-03,N/A,N/A,N/A,2.13E-02,N/A,N/A,1.00E-02,N/A,N/A,6
"Hepatitis C, chronic",Digestive system diseases; Virus diseases,N/A,ENSG00000125901.5,MRPS26,protein coding,Protein-coding transcript,"chr20:3,026,591-3,028,900",23,29.1,45.5,30.5,52.5,52.9,63.7,85,56,56.6,51.1,37.1,46.5,47.4,58.9,N/A,N/A,N/A,N/A,1.78E-02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1
"Hepatitis C, chronic",Digestive system diseases; Virus diseases,N/A,ENSG00000179344.12,HLA-DQB1,protein coding,Protein-coding transcript,"chr6:32,627,244-32,636,160",116.4,42.3,3.4,458.6,1.8,1.8,2.4,2.4,2.6,23.4,1.9,1,3.7,4.3,2.3,1.44E-18,2.85E-19,2.66E-15,1.64E-23,9.36E-16,7.47E-17,1.44E-10,5.84E-14,1.22E-17,3.58E-16,8.15E-12,N/A,1.52E-14,1.43E-14,3.63E-14,14
"Hepatitis C, chronic",Digestive system diseases; Virus diseases,N/A,ENSG00000182541.13,LIMK2,protein coding,Protein-coding transcript,"chr22:31,608,225-31,676,066",29.6,22.5,47.5,110.4,238.9,221.3,47,64.5,204,176.3,172.9,153.2,164.2,170,183.3,8.05E-03,6.74E-03,N/A,9.04E-03,2.15E-06,6.78E-06,N/A,N/A,3.73E-06,1.01E-08,7.99E-03,1.36E-06,1.26E-07,2.82E-06,1.90E-06,12
"Hepatitis C, chronic",Digestive system diseases; Virus diseases,N/A,ENSG00000196735.7,HLA-DQA1,protein coding,Protein-coding transcript,"chr6:32,595,956-32,614,839",33.3,26.1,1.2,248.2,1.1,0.9,1.2,1,0.5,7,0.4,0.1,0.5,0.5,0.5,7.21E-21,9.13E-12,7.35E-03,5.21E-24,1.10E-16,N/A,1.01E-16,N/A,N/A,1.75E-12,N/A,N/A,N/A,N/A,N/A,7
"Hepatitis C, chronic",Digestive system diseases; Virus diseases,N/A,ENSG00000198171.8,DDRGK1,protein coding,Protein-coding transcript,"chr20:3,170,996-3,185,331",27.1,18.3,32.9,16.1,28.1,31.5,16.1,20.4,32.4,44.3,33.6,24.5,33.6,32.2,46.2,N/A,N/A,2.70E-02,N/A,3.31E-02,9.44E-04,N/A,N/A,N/A,3.57E-02,N/A,2.07E-02,N/A,N/A,N/A,5
"Hepatitis C, chronic",Digestive system diseases; Virus diseases,N/A,ENSG00000204264.4,PSMB8,protein coding,Protein-coding transcript,"chr6:32,808,494-32,812,480",134.9,177.8,189.6,127,141.1,150.1,157.2,218.3,146.6,239.7,176.4,160.5,162.8,168.3,159.2,1.18E-03,N/A,N/A,N/A,N/A,1.05E-05,N/A,2.04E-02,N/A,N/A,N/A,1.03E-02,N/A,N/A,N/A,4
"Hepatitis C, chronic",Digestive system diseases; Virus diseases,N/A,ENSG00000204472.8,AIF1,protein coding,Protein-coding transcript,"chr6:31,582,961-31,584,798",860.7,1770.7,6.5,1.1,62.4,86.3,7.7,15.5,27.7,4.9,9,5.2,5.2,8.7,17.1,N/A,N/A,N/A,1.45E-02,2.13E-05,2.57E-10,7.97E-04,9.84E-06,4.74E-06,N/A,3.21E-04,2.31E-04,2.11E-06,7.87E-06,6.58E-06,11
"Hepatitis C, chronic",Digestive system diseases; Virus diseases,N/A,ENSG00000223534.1,HLA-DQB1-AS1,antisense,lncRNA,"chr6:32,627,657-32,628,506",40.9,12.7,1.4,263.5,1.4,1,0.6,0.6,0.9,9,0.5,0.3,1.5,1.5,0.7,9.57E-17,1.79E-16,5.86E-13,1.94E-20,9.45E-16,N/A,N/A,N/A,N/A,1.43E-17,N/A,N/A,2.36E-13,6.33E-12,N/A,8
"Hepatitis C, chronic",Digestive system diseases; Virus diseases,N/A,ENSG00000228839.1,RP3-400N23.6,antisense,lncRNA,"chr22:31,688,485-31,734,007",1.2,3.7,4.4,8.8,23.2,22.7,5.5,6.6,28.2,19.8,10.6,8.2,10,11.6,14.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.12E-06,1.45E-02,2.41E-02,9.05E-03,4.05E-02,N/A,5
"Hepatitis C, chronic",Digestive system diseases; Virus diseases,N/A,ENSG00000229391.3,HLA-DRB6,pseudogene,Pseudogene,"chr6:32,520,490-32,527,799",91.1,58.2,4.4,110,1,1.2,0.5,0.5,0.8,15,1.8,0.3,1.6,1.9,1.3,2.00E-20,1.15E-20,4.64E-08,3.92E-15,5.30E-08,5.95E-11,N/A,N/A,N/A,6.27E-17,9.23E-06,N/A,3.32E-10,2.89E-12,1.02E-07,11
"Hepatitis C, chronic",Digestive system diseases; Virus diseases,N/A,ENSG00000232629.4,HLA-DQB2,protein coding,Protein-coding transcript,"chr6:32,723,875-32,731,311",31.2,12.1,1.4,108.3,0.7,0.8,1.1,0.7,1.2,13.6,1.6,0.5,2.3,2.6,1.5,6.77E-16,2.11E-12,1.46E-06,1.52E-18,N/A,N/A,2.87E-13,N/A,2.54E-12,5.55E-19,7.67E-11,N/A,2.49E-14,4.01E-14,3.06E-08,11
"Hepatitis C, chronic",Digestive system diseases; Virus diseases,N/A,ENSG00000237541.3,HLA-DQA2,protein coding,Protein-coding transcript,"chr6:32,709,119-32,714,992",57.4,72.5,4.2,211.4,1.2,1.3,1.1,1.1,0.6,15.5,1.4,0.2,1.3,1.3,1,3.30E-23,3.04E-24,3.61E-13,5.21E-24,2.12E-09,2.39E-13,2.63E-11,3.29E-10,N/A,3.95E-20,6.17E-06,N/A,3.61E-12,3.90E-12,6.63E-06,13
"Hepatitis C, chronic",Digestive system diseases; Virus diseases,N/A,ENSG00000241106.2,HLA-DOB,protein coding,Protein-coding transcript,"chr6:32,780,540-32,784,825",6,10.7,17.2,235.2,17.7,18.2,6,9.1,14.6,17.9,11.5,10.6,11.2,11.3,12.4,7.76E-11,3.64E-12,9.98E-12,5.85E-03,3.14E-12,4.63E-12,3.02E-10,1.56E-10,1.18E-11,4.30E-12,2.27E-10,8.89E-12,1.34E-11,8.45E-12,3.43E-12,15
"Hepatitis, autoimmune",Digestive system diseases; Immune system diseases,N/A,ENSG00000204257.10,HLA-DMA,protein coding,Protein-coding transcript,"chr6:32,916,390-32,936,871",388.4,128.2,26.5,933.9,17.6,20,2.6,3.2,15.2,68.4,15.9,6.6,9.3,12.1,14.8,N/A,N/A,3.61E-02,N/A,2.52E-02,2.56E-02,4.17E-02,3.91E-02,1.47E-03,N/A,4.75E-04,8.68E-03,4.52E-04,1.44E-02,2.10E-02,11
Hepcidins,Chemicals and drugs,N/A,ENSG00000154917.6,RAB6B,protein coding,Protein-coding transcript,"chr3:133,543,083-133,614,680",2.5,1.6,11.7,11.5,17.3,16.8,13.5,14.5,16.3,13.5,18.1,27.9,19,17.2,14.1,3.89E-03,N/A,N/A,2.12E-03,6.08E-09,5.62E-10,6.70E-06,2.60E-07,2.40E-07,3.09E-04,3.67E-02,1.61E-03,2.26E-02,1.17E-02,1.29E-03,13
Hip,Anatomy,N/A,ENSG00000030066.9,NUP160,protein coding,Protein-coding transcript,"chr11:47,799,639-47,870,107",14.6,16.6,35.7,85.5,68.5,54.9,75.7,74,58.5,36.1,51.7,57.8,54.1,55.3,50.9,9.66E-06,2.17E-09,N/A,3.18E-02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3
Hip,Anatomy,N/A,ENSG00000051825.10,MPHOSPH9,protein coding,Protein-coding transcript,"chr12:123,636,867-123,728,561",8.9,14,48.4,28.2,57.4,62.3,22.3,25.7,47.5,33,35.8,38.5,31.9,36.4,35.6,4.23E-03,2.03E-03,N/A,N/A,N/A,N/A,N/A,N/A,1.27E-03,2.00E-02,N/A,2.50E-02,7.41E-03,5.21E-03,3.37E-03,8
